Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
1,-20.422417964349357,-36.12923609664145,-42.67395953615825,8.734375,4.35421875,2.421875
2,-22.01822953617245,-36.54078226199846,-44.21493916357281,6.578125,4.186875,2.203125
3,-20.993587166019907,-35.55592138910993,-44.70442196369615,6.953125,4.21625,2.078125
4,-19.51681255487344,-34.033951565094476,-43.06078160417756,6.8125,4.248072916666667,2.0
5,-19.83831059212695,-34.09766794089332,-43.16583117915576,6.96875,4.149166666666667,2.03125
6,-19.06245243014747,-34.52590260528221,-44.030029546070466,7.0625,4.205052083333333,2.171875
7,-16.044607187268358,-31.63975891521888,-41.771292411191396,6.890625,4.278802083333333,2.125
8,-18.34168668083822,-32.427324960069306,-41.39674528103343,7.171875,4.163489583333333,2.21875
9,-16.801422893131388,-31.789099250936644,-41.75169412582949,7.890625,4.1915625,2.046875
10,-16.263816094831835,-31.806646963896615,-41.30870716523518,8.046875,4.1808854166666665,2.046875
11,-18.72901357635323,-32.80285052584927,-42.37031208323475,8.15625,4.10359375,2.109375
12,-15.665847440508022,-33.35334691821388,-43.376533630378226,7.078125,4.145833333333333,2.078125
13,-20.653947178622353,-34.63345321807186,-44.10342332490217,6.90625,4.0988541666666665,2.203125
14,-17.647367314427076,-32.58526279431658,-42.463523410741246,7.203125,4.134895833333333,2.0625
15,-17.27329042495146,-33.83142239765173,-43.972914033611616,8.390625,4.17953125,2.09375
16,-12.168373992882529,-31.72940575101853,-41.59327763464118,8.140625,4.103072916666667,2.0
17,-15.094875395669566,-32.48411616921217,-42.846797900837956,8.25,4.17375,2.015625
18,-19.578117154475528,-34.90485071555787,-45.32463954889347,7.625,4.282604166666666,2.125
19,-15.894833305741496,-30.636589180215378,-39.61452752590401,8.03125,4.2809375,2.234375
20,-19.81007768024053,-33.70387712339266,-43.95568508480753,6.703125,4.2433854166666665,2.0
21,-14.671341023701979,-30.74451280612771,-40.829928917899764,7.640625,4.285572916666666,2.046875
22,-15.515459718509376,-31.96204714657791,-42.72945478053434,7.125,4.203854166666667,2.171875
23,-19.39738096047636,-33.18744804144781,-43.66529839172283,7.515625,4.188802083333333,2.03125
24,-17.441115391688285,-31.25692249611485,-42.03738425450983,7.90625,4.2478645833333335,2.03125
25,-18.635559660617204,-33.27294809384875,-43.40330874777436,7.5625,4.213125,2.0625
26,-16.481068892685187,-31.171289468363234,-41.806402772385,7.296875,4.02515625,2.0625
27,-16.23755983750959,-33.368929005840506,-43.47734890683641,7.1875,4.09296875,2.015625
28,-17.475570243650147,-32.27055676800263,-43.06804618033988,7.421875,4.170520833333334,2.046875
29,-16.13935082928079,-32.455430151290074,-42.96654590843069,8.90625,4.20609375,2.0
30,-11.762669157443357,-31.001564294425716,-42.37933623316563,8.296875,4.0628125,2.109375
31,-17.58296200407802,-32.778973074687926,-43.80576112777058,7.359375,4.243177083333333,2.203125
32,-15.14925747822635,-33.14301799178235,-44.162113005576046,7.046875,4.191458333333333,2.15625
33,-18.34759152692457,-32.62793883414735,-42.34964224004459,7.40625,4.2665625,2.09375
34,-14.715739066701992,-32.924044806782746,-42.80167111640833,7.453125,4.283697916666667,2.203125
35,-16.21739863448672,-33.04350202427138,-43.47456187116409,7.1875,4.009114583333333,2.234375
36,-13.709201132800386,-29.98723217495224,-41.17604505550821,7.078125,4.191197916666667,2.046875
37,-18.481522007907305,-32.40043625956862,-43.41073587312957,7.40625,4.251927083333333,2.140625
38,-17.5634173617242,-32.539245176369135,-43.25242690319534,7.84375,4.22359375,2.25
39,-14.263477810988462,-30.982323322445858,-41.88059518456889,7.546875,4.171510416666667,2.125
40,-15.822713507128675,-32.46876453605045,-43.449857494770804,7.78125,4.029895833333334,2.21875
41,-14.078074205848607,-29.29703215176647,-41.234097172629006,7.65625,3.9800520833333333,2.078125
42,-16.09850582809016,-30.696209074462743,-41.48373625218012,6.59375,4.000104166666667,2.1875
43,-16.10160871160749,-30.683023085279256,-41.848169403630024,7.0625,4.175052083333333,2.0
44,-15.032550144351278,-29.12022460477211,-41.09255696014252,7.296875,4.1265625,2.015625
45,-15.449964139009113,-29.18336748883934,-41.326345361758044,7.125,4.076197916666667,2.0
46,-13.593373628848344,-28.096809403037,-40.699257155483394,6.78125,4.303333333333334,2.03125
47,-14.7856920829925,-28.399680129650005,-40.4442308481339,7.390625,4.27828125,2.234375
48,-15.599285152018851,-31.579700916345974,-44.32162531319338,7.171875,3.914375,2.078125
49,-16.19907051668082,-31.518314320061595,-44.376252003414336,8.15625,3.8004166666666666,2.3125
50,-16.110100872849483,-30.414325821975094,-42.214066812161974,7.046875,4.04890625,2.0
51,-15.342515084202747,-29.59249105893681,-41.56249998504335,6.90625,3.995885416666667,2.015625
52,-16.053711927544303,-29.865448790906974,-41.644131659631924,7.40625,4.098125,2.0
53,-16.12704333434979,-29.52916169849381,-42.10754367698689,7.90625,4.277447916666667,2.125
54,-17.967877595108558,-30.574272127399855,-41.56224455970657,6.734375,4.086041666666667,2.03125
55,-15.009794710217559,-30.35010424799401,-41.525391918073964,7.921875,4.09359375,2.0
56,-12.769904619641894,-28.395020793775316,-40.050678943726,7.125,4.112864583333334,2.015625
57,-15.06113054524668,-29.77326480014229,-41.271244944021475,7.5625,4.1134375,2.0
58,-12.794935075455792,-30.70094922384922,-41.94912824005921,7.609375,4.096354166666667,2.03125
59,-14.210690443155803,-29.554570357310745,-40.82313397801131,8.0625,4.0025,2.015625
60,-18.559938485484373,-32.82684101235383,-43.31505612308564,7.984375,3.95875,2.0625
61,-14.616933679579923,-31.32426995490769,-42.207798658554765,8.609375,4.24,2.109375
62,-16.36536445737356,-32.00467874400992,-41.96253850933431,8.171875,4.038697916666667,2.0625
63,-13.660955488225357,-27.770897618908243,-39.04639177402595,7.078125,4.165364583333333,2.0625
64,-17.809296740689373,-32.19720003360182,-43.56334241839684,7.046875,4.1090625,2.203125
65,-15.270339995200805,-30.5634455269736,-42.658148167766214,6.4375,4.053541666666667,2.125
66,-12.502677148037472,-26.519102809742012,-38.747781942115225,6.921875,4.0675,2.234375
67,-16.10172277857726,-31.08092716111,-43.90735616469124,7.78125,4.269583333333333,2.3125
68,-15.396928402970042,-29.158430216821664,-40.323210375774494,7.234375,4.056302083333334,2.125
