Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
0,-8.5625,-10.36359375,-11.71875,5.578125,3.94296875,2.703125
1,-8.015625,-9.507890625,-11.390625,5.1875,3.700234375,2.765625
2,-7.53125,-9.5196875,-11.421875,5.671875,3.726328125,2.828125
3,-7.09375,-8.85984375,-11.4375,4.953125,3.49,2.703125
4,-7.171875,-8.865859375,-11.59375,4.9375,3.4853125,2.625
5,-6.96875,-8.47328125,-10.953125,4.734375,3.37578125,2.5625
6,-6.703125,-8.3378125,-10.734375,4.78125,3.40890625,2.65625
7,-6.5,-8.506640625,-11.625,5.0625,3.392734375,2.6875
8,-6.640625,-8.428203125,-11.3125,4.859375,3.418671875,2.640625
9,-6.578125,-7.91296875,-10.796875,5.375,3.2725,2.515625
10,-6.296875,-7.537890625,-10.34375,4.8125,3.1365625,2.453125
11,-5.796875,-6.836328125,-8.3125,3.953125,3.09265625,2.40625
12,-6.40625,-7.598671875,-10.140625,4.484375,3.237421875,2.28125
13,-6.109375,-7.27140625,-9.203125,3.671875,2.88984375,2.328125
14,-6.0625,-7.293203125,-8.765625,4.28125,3.04921875,2.46875
15,-5.828125,-6.93234375,-8.21875,3.703125,2.9296875,2.46875
16,-5.921875,-6.98921875,-9.46875,4.046875,2.859375,2.375
17,-5.796875,-6.99578125,-8.265625,3.859375,2.799765625,2.21875
18,-5.8125,-6.90328125,-8.84375,3.59375,2.734453125,2.234375
19,-5.078125,-6.541953125,-7.859375,3.359375,2.59640625,2.203125
20,-5.8125,-6.937734375,-8.109375,3.453125,2.7196875,2.25
21,-5.796875,-6.6925,-8.765625,4.09375,2.693984375,2.21875
22,-5.21875,-6.495625,-8.25,3.28125,2.51421875,2.125
23,-4.671875,-5.85125,-7.15625,3.4375,2.687890625,2.265625
24,-4.890625,-6.326171875,-8.046875,3.109375,2.52828125,2.203125
25,-4.515625,-5.74109375,-7.390625,3.28125,2.525390625,2.15625
26,-5.375,-6.386796875,-7.5625,3.078125,2.58296875,2.15625
27,-4.421875,-5.616875,-6.71875,2.84375,2.39328125,2.078125
28,-4.390625,-5.469375,-6.875,2.75,2.313046875,2.046875
29,-4.15625,-5.378125,-6.6875,2.859375,2.330703125,2.046875
30,-5.328125,-6.40828125,-7.265625,2.828125,2.2575,2.03125
31,-4.40625,-5.17859375,-6.484375,2.671875,2.25453125,2.03125
32,-5.40625,-6.3359375,-7.609375,2.75,2.26390625,2.03125
33,-3.921875,-4.622265625,-6.03125,2.515625,2.145546875,2.015625
34,-3.328125,-4.1109375,-5.328125,2.296875,2.1146875,2.0
35,-4.546875,-5.16984375,-6.140625,2.34375,2.121328125,2.015625
36,-4.515625,-5.292578125,-6.265625,2.296875,2.103125,2.015625
37,-4.046875,-4.66046875,-5.765625,2.625,2.1065625,2.0
38,-3.6875,-4.17390625,-5.15625,2.28125,2.0740625,2.0
39,-4.703125,-5.25765625,-6.171875,2.34375,2.095546875,2.0
40,-5.015625,-5.494921875,-6.421875,2.296875,2.0990625,2.0
41,-4.59375,-5.264765625,-6.171875,2.34375,2.113984375,2.0
42,-3.8125,-4.245625,-5.203125,2.3125,2.079375,2.0
43,-3.6875,-4.256875,-5.421875,2.46875,2.08515625,2.0
44,-4.140625,-4.653984375,-5.453125,2.28125,2.10515625,2.015625
45,-4.21875,-4.5421875,-5.28125,2.25,2.07015625,2.0
46,-4.296875,-4.7046875,-5.546875,2.28125,2.101015625,2.0
47,-5.125,-5.55796875,-6.359375,2.34375,2.093671875,2.0
48,-4.140625,-4.78703125,-5.796875,2.375,2.09328125,2.0
49,-3.921875,-4.4675,-6.15625,2.421875,2.123515625,2.0
50,-4.484375,-5.224140625,-6.28125,2.390625,2.120234375,2.015625
51,-4.5,-4.934375,-5.578125,2.40625,2.13328125,2.015625
52,-3.671875,-4.133984375,-4.921875,2.40625,2.12515625,2.015625
53,-4.140625,-4.6034375,-5.125,2.34375,2.1346875,2.015625
54,-4.140625,-4.51703125,-5.1875,2.34375,2.134140625,2.015625
55,-4.46875,-5.139921875,-5.75,2.421875,2.16078125,2.015625
56,-4.484375,-4.912890625,-5.71875,2.375,2.127578125,2.0
57,-4.390625,-4.839765625,-5.765625,2.28125,2.107265625,2.015625
58,-3.9375,-4.383203125,-5.046875,2.28125,2.05203125,2.0
59,-3.90625,-4.416484375,-4.890625,2.1875,2.055234375,2.0
60,-4.328125,-4.676328125,-5.296875,2.34375,2.07578125,2.0
61,-3.890625,-4.243828125,-4.71875,2.328125,2.10390625,2.0
62,-3.71875,-4.17265625,-4.796875,2.28125,2.098203125,2.0
63,-5.25,-5.595703125,-6.078125,2.390625,2.148125,2.015625
